Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/15/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,AUS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.36954514,2.415139854,2.36369537,2.446634639,2.648242797,2.952292962,3.451382904,3.793763967,3.837273585,3.38591988,2.966035577,2.763151709,2.685620605,2.379346796,2.262802699,2.267315593,2.216612107,2.247202208,2.21568857,2.192729371,2.248956904,2.296601945,2.393265216,2.519811819,2.505233651,2.523268379,2.540429752,2.372988832,2.161814883,2.051827509,2.07590586,2.168042858,2.16874608,2.178029886,2.116598589,2.021312568,1.930440067,1.867334395,1.871121813,1.889235741,1.829841913,1.870093879,1.873964621,1.846289689,1.827410769,1.80249268,1.822330926,1.815342245,1.798547172,1.926908956,1.856791362,1.757078228,1.670962863,1.6398607,1.772210798,1.950600987,2.081511754,1.997973925,1.894180159,1.879802395,
Austria,AUT,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.458185699,1.309337523,1.352071859,1.579667758,1.887300243,1.507213387,1.624405132,1.609166416,1.542674749,1.499256567,1.380130121,1.246106954,1.202286665,1.184988573,1.276882519,1.451278364,1.365196811,1.345951891,1.429212612,1.433845732,1.420246106,1.380051733,1.41299673,1.391175884,1.414158336,1.512623567,1.508758541,1.416677903,1.299181144,1.234154925,1.195660267,1.154217118,1.099214072,1.115584541,1.094453076,1.073232052,1.049682977,1.046433982,1.018072863,0.980246123,0.98031858,0.908240041,0.883527837,0.913640319,0.893480466,0.850142574,0.785813244,0.900457173,0.870705123,0.833379565,0.821232712,0.790897558,0.778464251,0.750825383,0.747780095,0.698138152,0.732544817,0.756179042,0.743446243,0.725448727,
Azerbaijan,AZE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.400225621,5.000467786,1.94658459,2.736901303,2.254230341,2.324049799,2.412355913,2.625109931,2.267862063,2.312062608,2.24331377,2.426362555,2.629481138,2.299069675,3.417759333,2.864194919,3.291211146,3.325421682,2.791004357,4.670135555,4.658618252,4.54092331,4.555013124,5.464876793,3.690457267,3.821456058,3.624216221,3.999058616,
Burundi,BDI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,3.943793911,0.434782609,0.445620494,1.352337005,1.382287925,1.332606884,1.414223331,1.754491378,,1.032408654,1.458670989,1.946212277,2.225082751,2.056807052,2.2236012,2.533381742,2.796373652,2.643715301,2.918803369,3.030330243,3.50702489,3.104808926,2.975400785,2.751172646,2.805413158,2.649139912,3.145245149,3.349522133,3.448712473,3.786270865,3.595637948,3.72027582,3.921111198,4.209072899,5.856884919,6.359652961,6.572272507,6.257643657,4.862402213,6.071737158,5.441678859,5.533435389,4.903266843,4.436190041,3.511718452,3.414595248,2.720890527,,,,2.527177708,2.367638193,2.119090371,2.201862734,2.115625208,1.870652158,1.882161432,1.765131006,
Belgium,BEL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.397347867,3.259070074,3.284752167,3.216630963,3.213471659,2.973063602,3.112586029,3.134581624,3.115090011,2.931814996,2.918640097,2.898925919,2.880760041,2.835311133,2.761416188,3.065034539,3.093369534,3.143248647,3.261522061,3.261345018,3.250195386,3.366049436,3.269944591,3.19141317,3.007902449,2.931233854,2.953772624,2.901794793,2.628748416,2.460854324,2.355440459,2.287692847,1.83233253,1.735965893,1.67714315,1.565752151,1.540102651,1.476975796,1.463919265,1.385835559,1.341210276,1.276504166,1.215712208,1.214988156,1.149272139,1.091560058,1.051239186,1.094535301,1.213898317,1.160039922,1.084632861,1.043506795,1.03819328,1.010348682,0.978038255,0.921667505,0.906254688,0.895316099,0.910310347,0.933647268,
Benin,BEN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.871584699,1.395287958,1.751633987,1.736842105,2.18169901,2.106508876,1.900232597,1.976252106,2.072124756,1.894736842,1.625281519,1.601042034,1.487794309,1.67752809,1.442379182,1.492907801,1.28164794,1.678787879,1.194306931,1.930460034,2.031651419,1.551371319,1.305689831,1.621793843,2.020289981,1.894108684,1.967418682,2.278272941,2.270625537,1.898816057,1.674381125,,,,,,,,,0.663365739,0.564235731,0.4892599,0.851157766,0.884527271,0.924055932,0.93065751,0.909882099,,0.907451472,,,,0.95946855,0.939211742,0.957933118,1.096302663,0.928169433,1.264137517,0.869006668,0.652801729,
Burkina Faso,BFA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.682017544,0.83436853,2.345703125,2.38305709,2.60515873,1.524822695,1.649484536,1.325072886,1.178481013,1.246722288,1.172239108,1.177165354,1.139853748,1.235186873,1.151908397,2.811183733,3.123828648,3.043266631,3.283146067,2.698613861,2.746691176,2.842689698,3.003303634,2.932183416,3.017167437,1.836525411,2.621893491,2.252586462,2.310812644,2.740774077,2.704892966,2.166869267,2.049651568,1.862529885,1.422884729,1.383042694,1.28708847,1.417055045,1.27636264,1.385531386,1.392162753,1.299789896,1.324409972,1.207283348,1.357968367,1.351394486,1.249086676,1.592267582,1.397903771,1.521454726,1.377516262,1.294759503,1.323023735,1.390115736,1.431288347,1.419774125,1.32193252,1.529748115,2.128140759,2.429948399,
Bangladesh,BGD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,0.656720537,0.604303492,0.844783331,1.523678975,1.569977813,1.268985181,0.934292961,0.857420859,0.915831691,1.060869685,1.270673712,1.17804196,1.054272784,1.112191676,1.168232539,1.246388097,1.290861801,1.223165026,1.214422802,1.36050315,1.429390515,1.529023664,1.566693141,1.539073594,1.571667926,1.567535198,1.584834391,1.357119181,1.288422776,1.185764388,1.138286942,1.123505863,1.09089437,1.108238774,1.114480186,1.059529893,1.156730939,1.320837396,1.355517777,1.324419491,1.258197522,1.279412463,1.350969906,1.372321482,1.242917818,1.281519102,1.343644271,
Bulgaria,BGR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39627075,3.83344349,3.043231573,2.972633843,2.609271612,2.492617286,2.374131284,2.402934109,2.430701355,2.453059147,2.645171956,2.671170465,2.884461387,2.80125965,2.712020749,2.391993484,2.252898222,2.096991297,2.229611261,2.134535821,1.744172935,1.645017193,1.31997726,1.339583765,1.460922343,1.315726022,1.259946777,1.259959604,1.242051219,1.476020778,3.22090415,
Bahrain,BHR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,1.526179854,1.75228724,2.077922078,4.958131335,5.892751915,5.698891307,6.902581566,8.535161949,4.790336018,4.179305696,4.588158182,5.837762481,5.253253881,5.603045758,5.644661664,5.284791544,5.703750648,5.878071992,5.369855167,5.111302188,5.18323179,5.273939764,5.068487413,5.333103953,5.503621544,3.961670969,4.148081632,4.611106606,4.658832803,4.044928848,3.214381095,3.102947728,2.956990234,2.800161369,3.61053525,3.277755942,3.591497227,3.844573702,4.141451788,4.418589461,4.632877365,4.671440867,4.33877531,4.059390181,3.690245548,
